step,ntoken,cache_len_before,n_new,phase,latency_ms,kv_valid_mib
0,1024,0,1024,prefill,3108.159,28.0
1,1025,1024,1,decode,56.847,28.027
2,1026,1025,1,decode,56.34,28.055
3,1027,1026,1,decode,56.322,28.082
4,1028,1027,1,decode,56.36,28.109
5,1029,1028,1,decode,56.396,28.137
6,1030,1029,1,decode,56.327,28.164
7,1031,1030,1,decode,56.422,28.191
8,1032,1031,1,decode,56.327,28.219
9,1033,1032,1,decode,56.361,28.246
10,1034,1033,1,decode,56.391,28.273
11,1035,1034,1,decode,56.399,28.301
12,1036,1035,1,decode,56.345,28.328
13,1037,1036,1,decode,56.389,28.355
14,1038,1037,1,decode,56.378,28.383
15,1039,1038,1,decode,56.39,28.41
16,1040,1039,1,decode,56.386,28.438
17,1041,1040,1,decode,56.468,28.465
18,1042,1041,1,decode,56.4,28.492
19,1043,1042,1,decode,56.566,28.52
20,1044,1043,1,decode,56.453,28.547
21,1045,1044,1,decode,56.402,28.574
22,1046,1045,1,decode,56.421,28.602
23,1047,1046,1,decode,56.58,28.629
24,1048,1047,1,decode,56.607,28.656
25,1049,1048,1,decode,56.524,28.684
26,1050,1049,1,decode,56.508,28.711
27,1051,1050,1,decode,56.515,28.738
28,1052,1051,1,decode,56.484,28.766
29,1053,1052,1,decode,56.614,28.793
30,1054,1053,1,decode,56.618,28.82
31,1055,1054,1,decode,56.622,28.848
32,1056,1055,1,decode,56.512,28.875
33,1057,1056,1,decode,56.648,28.902
34,1058,1057,1,decode,56.724,28.93
35,1059,1058,1,decode,56.761,28.957
36,1060,1059,1,decode,56.719,28.984
37,1061,1060,1,decode,56.863,29.012
38,1062,1061,1,decode,57.12,29.039
39,1063,1062,1,decode,57.154,29.066
40,1064,1063,1,decode,56.854,29.094
41,1065,1064,1,decode,56.63,29.121
42,1066,1065,1,decode,56.833,29.148
43,1067,1066,1,decode,56.655,29.176
44,1068,1067,1,decode,56.801,29.203
45,1069,1068,1,decode,56.611,29.23
46,1070,1069,1,decode,58.49,29.258
47,1071,1070,1,decode,56.788,29.285
48,1072,1071,1,decode,56.696,29.312
49,1073,1072,1,decode,56.72,29.34
50,1074,1073,1,decode,56.611,29.367
51,1075,1074,1,decode,56.631,29.395
52,1076,1075,1,decode,56.764,29.422
53,1077,1076,1,decode,56.674,29.449
54,1078,1077,1,decode,56.506,29.477
55,1079,1078,1,decode,56.456,29.504
56,1080,1079,1,decode,56.532,29.531
57,1081,1080,1,decode,56.504,29.559
58,1082,1081,1,decode,56.466,29.586
59,1083,1082,1,decode,56.518,29.613
60,1084,1083,1,decode,56.485,29.641
61,1085,1084,1,decode,56.462,29.668
62,1086,1085,1,decode,56.515,29.695
63,1087,1086,1,decode,56.506,29.723
64,1088,1087,1,decode,56.478,29.75
65,1089,1088,1,decode,56.505,29.777
66,1090,1089,1,decode,56.514,29.805
67,1091,1090,1,decode,56.535,29.832
68,1092,1091,1,decode,56.473,29.859
69,1093,1092,1,decode,56.517,29.887
70,1094,1093,1,decode,56.551,29.914
71,1095,1094,1,decode,56.515,29.941
72,1096,1095,1,decode,56.54,29.969
73,1097,1096,1,decode,56.675,29.996
74,1098,1097,1,decode,56.553,30.023
75,1099,1098,1,decode,56.568,30.051
76,1100,1099,1,decode,56.54,30.078
77,1101,1100,1,decode,56.502,30.105
78,1102,1101,1,decode,56.54,30.133
79,1103,1102,1,decode,56.598,30.16
80,1104,1103,1,decode,56.504,30.188
81,1105,1104,1,decode,56.555,30.215
82,1106,1105,1,decode,56.566,30.242
83,1107,1106,1,decode,56.541,30.27
84,1108,1107,1,decode,56.529,30.297
85,1109,1108,1,decode,56.541,30.324
86,1110,1109,1,decode,56.515,30.352
87,1111,1110,1,decode,56.559,30.379
88,1112,1111,1,decode,57.245,30.406
89,1113,1112,1,decode,58.131,30.434
90,1114,1113,1,decode,57.708,30.461
91,1115,1114,1,decode,56.952,30.488
92,1116,1115,1,decode,56.624,30.516
93,1117,1116,1,decode,56.67,30.543
94,1118,1117,1,decode,56.717,30.57
95,1119,1118,1,decode,56.647,30.598
96,1120,1119,1,decode,56.582,30.625
97,1121,1120,1,decode,56.717,30.652
98,1122,1121,1,decode,56.74,30.68
99,1123,1122,1,decode,56.554,30.707
100,1124,1123,1,decode,56.694,30.734
101,1125,1124,1,decode,57.813,30.762
102,1126,1125,1,decode,57.194,30.789
103,1127,1126,1,decode,56.73,30.816
104,1128,1127,1,decode,56.599,30.844
105,1129,1128,1,decode,56.677,30.871
106,1130,1129,1,decode,56.734,30.898
107,1131,1130,1,decode,56.684,30.926
108,1132,1131,1,decode,56.716,30.953
109,1133,1132,1,decode,56.746,30.98
110,1134,1133,1,decode,56.985,31.008
111,1135,1134,1,decode,56.804,31.035
112,1136,1135,1,decode,56.7,31.062
113,1137,1136,1,decode,56.593,31.09
114,1138,1137,1,decode,56.588,31.117
115,1139,1138,1,decode,56.612,31.145
116,1140,1139,1,decode,56.597,31.172
117,1141,1140,1,decode,56.673,31.199
118,1142,1141,1,decode,56.566,31.227
119,1143,1142,1,decode,56.72,31.254
120,1144,1143,1,decode,57.029,31.281
121,1145,1144,1,decode,57.97,31.309
122,1146,1145,1,decode,58.085,31.336
123,1147,1146,1,decode,57.201,31.363
124,1148,1147,1,decode,58.214,31.391
125,1149,1148,1,decode,56.935,31.418
126,1150,1149,1,decode,56.873,31.445
127,1151,1150,1,decode,56.858,31.473
128,1152,1151,1,decode,56.822,31.5
