step,ntoken,cache_len_before,n_new,phase,latency_ms,kv_valid_mib
0,64,0,64,prefill,227.984,1.75
1,65,64,1,decode,54.983,1.777
2,66,65,1,decode,54.686,1.805
3,67,66,1,decode,55.353,1.832
4,68,67,1,decode,54.757,1.859
5,69,68,1,decode,54.708,1.887
6,70,69,1,decode,54.661,1.914
7,71,70,1,decode,54.642,1.941
8,72,71,1,decode,57.373,1.969
9,73,72,1,decode,54.854,1.996
10,74,73,1,decode,54.973,2.023
11,75,74,1,decode,54.881,2.051
12,76,75,1,decode,54.668,2.078
13,77,76,1,decode,54.664,2.105
14,78,77,1,decode,54.669,2.133
15,79,78,1,decode,54.629,2.16
16,80,79,1,decode,54.68,2.188
17,81,80,1,decode,54.633,2.215
18,82,81,1,decode,55.093,2.242
19,83,82,1,decode,56.669,2.27
20,84,83,1,decode,56.171,2.297
21,85,84,1,decode,56.528,2.324
22,86,85,1,decode,56.303,2.352
23,87,86,1,decode,57.153,2.379
24,88,87,1,decode,56.978,2.406
25,89,88,1,decode,55.021,2.434
26,90,89,1,decode,54.73,2.461
27,91,90,1,decode,54.753,2.488
28,92,91,1,decode,56.246,2.516
29,93,92,1,decode,54.843,2.543
30,94,93,1,decode,54.73,2.57
31,95,94,1,decode,54.759,2.598
32,96,95,1,decode,54.705,2.625
33,97,96,1,decode,54.706,2.652
34,98,97,1,decode,54.699,2.68
35,99,98,1,decode,54.734,2.707
36,100,99,1,decode,54.706,2.734
37,101,100,1,decode,54.695,2.762
38,102,101,1,decode,54.713,2.789
39,103,102,1,decode,54.707,2.816
40,104,103,1,decode,54.677,2.844
41,105,104,1,decode,54.743,2.871
42,106,105,1,decode,54.642,2.898
43,107,106,1,decode,54.699,2.926
44,108,107,1,decode,54.649,2.953
45,109,108,1,decode,54.682,2.98
46,110,109,1,decode,54.67,3.008
47,111,110,1,decode,54.724,3.035
48,112,111,1,decode,54.707,3.062
49,113,112,1,decode,54.692,3.09
50,114,113,1,decode,54.649,3.117
51,115,114,1,decode,54.668,3.145
52,116,115,1,decode,54.62,3.172
53,117,116,1,decode,54.615,3.199
54,118,117,1,decode,55.274,3.227
55,119,118,1,decode,54.866,3.254
56,120,119,1,decode,54.726,3.281
57,121,120,1,decode,54.672,3.309
58,122,121,1,decode,54.71,3.336
59,123,122,1,decode,54.743,3.363
60,124,123,1,decode,54.705,3.391
61,125,124,1,decode,54.673,3.418
62,126,125,1,decode,54.702,3.445
63,127,126,1,decode,54.709,3.473
64,128,127,1,decode,54.691,3.5
65,129,128,1,decode,54.889,3.527
66,130,129,1,decode,54.727,3.555
67,131,130,1,decode,54.661,3.582
68,132,131,1,decode,54.72,3.609
69,133,132,1,decode,54.698,3.637
70,134,133,1,decode,54.683,3.664
71,135,134,1,decode,54.74,3.691
72,136,135,1,decode,54.716,3.719
73,137,136,1,decode,54.689,3.746
74,138,137,1,decode,54.751,3.773
75,139,138,1,decode,54.705,3.801
76,140,139,1,decode,54.704,3.828
77,141,140,1,decode,54.738,3.855
78,142,141,1,decode,54.72,3.883
79,143,142,1,decode,54.775,3.91
80,144,143,1,decode,55.058,3.938
81,145,144,1,decode,54.8,3.965
82,146,145,1,decode,54.768,3.992
83,147,146,1,decode,54.87,4.02
84,148,147,1,decode,54.757,4.047
85,149,148,1,decode,54.713,4.074
86,150,149,1,decode,54.728,4.102
87,151,150,1,decode,54.722,4.129
88,152,151,1,decode,54.774,4.156
89,153,152,1,decode,54.776,4.184
90,154,153,1,decode,54.768,4.211
91,155,154,1,decode,54.764,4.238
92,156,155,1,decode,54.72,4.266
93,157,156,1,decode,54.861,4.293
94,158,157,1,decode,54.813,4.32
95,159,158,1,decode,54.805,4.348
96,160,159,1,decode,54.745,4.375
97,161,160,1,decode,54.78,4.402
98,162,161,1,decode,54.722,4.43
99,163,162,1,decode,54.738,4.457
100,164,163,1,decode,54.769,4.484
101,165,164,1,decode,54.739,4.512
102,166,165,1,decode,54.796,4.539
103,167,166,1,decode,54.864,4.566
104,168,167,1,decode,54.817,4.594
105,169,168,1,decode,54.822,4.621
106,170,169,1,decode,54.821,4.648
107,171,170,1,decode,55.075,4.676
108,172,171,1,decode,54.767,4.703
109,173,172,1,decode,54.852,4.73
110,174,173,1,decode,54.784,4.758
111,175,174,1,decode,54.814,4.785
112,176,175,1,decode,54.932,4.812
113,177,176,1,decode,54.763,4.84
114,178,177,1,decode,55.649,4.867
115,179,178,1,decode,55.049,4.895
116,180,179,1,decode,54.891,4.922
117,181,180,1,decode,54.914,4.949
118,182,181,1,decode,54.824,4.977
119,183,182,1,decode,55.188,5.004
120,184,183,1,decode,54.801,5.031
121,185,184,1,decode,54.773,5.059
122,186,185,1,decode,55.165,5.086
123,187,186,1,decode,55.072,5.113
124,188,187,1,decode,54.94,5.141
125,189,188,1,decode,54.789,5.168
126,190,189,1,decode,54.806,5.195
127,191,190,1,decode,54.822,5.223
128,192,191,1,decode,54.814,5.25
